topicTitle,topicId,value,geo,keyword,time,sys_time
Symptom,/m/01b_06,100,BR-AC,Dengue,2021-07,2025-07-30 16:10
Mosquito,/m/09f96,76,BR-AC,Dengue,2021-07,2025-07-30 16:10
Measles,/m/0g2gb,50,BR-AC,Dengue,2021-07,2025-07-30 16:10
Yellow fever mosquito,/m/06y6_w,35,BR-AC,Dengue,2021-07,2025-07-30 16:10
Symptom,/m/01b_06,100,BR-AL,Dengue,2021-07,2025-07-30 16:10
Yellow fever mosquito,/m/06y6_w,52,BR-AL,Dengue,2021-07,2025-07-30 16:10
Mosquito,/m/09f96,52,BR-AL,Dengue,2021-07,2025-07-30 16:10
Disease,/m/027x3,27,BR-AL,Dengue,2021-07,2025-07-30 16:10
Transmission,/m/036991,17,BR-AL,Dengue,2021-07,2025-07-30 16:10
Bleeding,/m/012n6x,17,BR-AL,Dengue,2021-07,2025-07-30 16:10
Zika fever,/m/02vkznh,12,BR-AL,Dengue,2021-07,2025-07-30 16:10
Chikungunya virus infection,/m/01__7l,12,BR-AL,Dengue,2021-07,2025-07-30 16:10
Fever,/m/0cjf0,9,BR-AL,Dengue,2021-07,2025-07-30 16:10
Yellow fever,/m/087z2,9,BR-AL,Dengue,2021-07,2025-07-30 16:10
Virus,/m/0g9pc,8,BR-AL,Dengue,2021-07,2025-07-30 16:10
Body,/m/0180q,8,BR-AL,Dengue,2021-07,2025-07-30 16:10
HIV/AIDS,/m/0d19y2,8,BR-AL,Dengue,2021-07,2025-07-30 16:10
Metamizole,/m/08j19g,7,BR-AL,Dengue,2021-07,2025-07-30 16:10
Aedes,/m/01yz26,7,BR-AL,Dengue,2021-07,2025-07-30 16:10
Diarrhea,/m/0f3kl,6,BR-AL,Dengue,2021-07,2025-07-30 16:10
Symptom,/m/01b_06,100,BR-AM,Dengue,2021-07,2025-07-30 16:10
Mosquito,/m/09f96,38,BR-AM,Dengue,2021-07,2025-07-30 16:10
Disease,/m/027x3,38,BR-AM,Dengue,2021-07,2025-07-30 16:10
Yellow fever mosquito,/m/06y6_w,25,BR-AM,Dengue,2021-07,2025-07-30 16:10
Virus,/m/0g9pc,24,BR-AM,Dengue,2021-07,2025-07-30 16:10
Transmission,/m/036991,21,BR-AM,Dengue,2021-07,2025-07-30 16:10
Eating,/m/01f5gx,20,BR-AM,Dengue,2021-07,2025-07-30 16:10
Bleeding,/m/012n6x,20,BR-AM,Dengue,2021-07,2025-07-30 16:10
Combat,/m/0byj4,18,BR-AM,Dengue,2021-07,2025-07-30 16:10
Chikungunya virus infection,/m/01__7l,18,BR-AM,Dengue,2021-07,2025-07-30 16:10
Red,/m/06fvc,17,BR-AM,Dengue,2021-07,2025-07-30 16:10
Zika fever,/m/02vkznh,16,BR-AM,Dengue,2021-07,2025-07-30 16:10
