topicTitle,topicId,value,geo,keyword,time,sys_time
Symptom,/m/01b_06,100,BR-AC,Dengue,2021-03,2025-07-30 16:05
Fever,/m/0cjf0,13,BR-AC,Dengue,2021-03,2025-07-30 16:05
Yellow fever mosquito,/m/06y6_w,11,BR-AC,Dengue,2021-03,2025-07-30 16:05
Mosquito,/m/09f96,9,BR-AC,Dengue,2021-03,2025-07-30 16:05
Platelet,/m/01bw6w,9,BR-AC,Dengue,2021-03,2025-07-30 16:05
Malaria,/m/0542n,8,BR-AC,Dengue,2021-03,2025-07-30 16:05
Metamizole,/m/08j19g,7,BR-AC,Dengue,2021-03,2025-07-30 16:05
Immunoglobulin G,/m/02gsf4,7,BR-AC,Dengue,2021-03,2025-07-30 16:05
Reagent,/m/0197z2,7,BR-AC,Dengue,2021-03,2025-07-30 16:05
Chest pain,/m/02np4v,6,BR-AC,Dengue,2021-03,2025-07-30 16:05
Bleeding,/m/012n6x,6,BR-AC,Dengue,2021-03,2025-07-30 16:05
Headache,/m/0j5fv,5,BR-AC,Dengue,2021-03,2025-07-30 16:05
Immunoglobulin M,/m/02gshc,5,BR-AC,Dengue,2021-03,2025-07-30 16:05
Complete blood count,/m/01k19y,5,BR-AC,Dengue,2021-03,2025-07-30 16:05
Chikungunya virus infection,/m/01__7l,4,BR-AC,Dengue,2021-03,2025-07-30 16:05
Antibiotics,/m/0tbr,4,BR-AC,Dengue,2021-03,2025-07-30 16:05
Acetaminophen,/m/0lbt3,3,BR-AC,Dengue,2021-03,2025-07-30 16:05
Symptom,/m/01b_06,100,BR-AL,Dengue,2021-03,2025-07-30 16:05
Mosquito,/m/09f96,77,BR-AL,Dengue,2021-03,2025-07-30 16:05
Yellow fever mosquito,/m/06y6_w,62,BR-AL,Dengue,2021-03,2025-07-30 16:05
Zika fever,/m/02vkznh,36,BR-AL,Dengue,2021-03,2025-07-30 16:05
Virus,/m/0g9pc,35,BR-AL,Dengue,2021-03,2025-07-30 16:05
Disease,/m/027x3,32,BR-AL,Dengue,2021-03,2025-07-30 16:05
Skin,/m/06z04,28,BR-AL,Dengue,2021-03,2025-07-30 16:05
Fever,/m/0cjf0,25,BR-AL,Dengue,2021-03,2025-07-30 16:05
Transmission,/m/036991,25,BR-AL,Dengue,2021-03,2025-07-30 16:05
Bleeding,/m/012n6x,13,BR-AL,Dengue,2021-03,2025-07-30 16:05
Chikungunya virus infection,/m/01__7l,8,BR-AL,Dengue,2021-03,2025-07-30 16:05
Symptom,/m/01b_06,100,BR-AM,Dengue,2021-03,2025-07-30 16:05
Mosquito,/m/09f96,25,BR-AM,Dengue,2021-03,2025-07-30 16:05
Disease,/m/027x3,23,BR-AM,Dengue,2021-03,2025-07-30 16:05
Virus,/m/0g9pc,23,BR-AM,Dengue,2021-03,2025-07-30 16:05
Yellow fever mosquito,/m/06y6_w,20,BR-AM,Dengue,2021-03,2025-07-30 16:05
Transmission,/m/036991,17,BR-AM,Dengue,2021-03,2025-07-30 16:05
Cure,/m/0405g08,14,BR-AM,Dengue,2021-03,2025-07-30 16:05
Fever,/m/0cjf0,12,BR-AM,Dengue,2021-03,2025-07-30 16:05
Malaria,/m/0542n,12,BR-AM,Dengue,2021-03,2025-07-30 16:05
Yellow fever,/m/087z2,12,BR-AM,Dengue,2021-03,2025-07-30 16:05
Infection,/m/098s1,10,BR-AM,Dengue,2021-03,2025-07-30 16:05
Bleeding,/m/012n6x,10,BR-AM,Dengue,2021-03,2025-07-30 16:05
Zika fever,/m/02vkznh,10,BR-AM,Dengue,2021-03,2025-07-30 16:05
Cell,/m/01cbd,10,BR-AM,Dengue,2021-03,2025-07-30 16:05
Aedes,/m/01yz26,9,BR-AM,Dengue,2021-03,2025-07-30 16:05
HIV,/m/05dbslt,9,BR-AM,Dengue,2021-03,2025-07-30 16:05
Combat,/m/0byj4,9,BR-AM,Dengue,2021-03,2025-07-30 16:05
Measles,/m/0g2gb,8,BR-AM,Dengue,2021-03,2025-07-30 16:05
HIV/AIDS,/m/0d19y2,8,BR-AM,Dengue,2021-03,2025-07-30 16:05
Chikungunya virus infection,/m/01__7l,8,BR-AM,Dengue,2021-03,2025-07-30 16:05
Mumps,/m/0g3xk,8,BR-AM,Dengue,2021-03,2025-07-30 16:05
Cause,/m/0j276x9,7,BR-AM,Dengue,2021-03,2025-07-30 16:05
Hepatitis,/m/09jg8,7,BR-AM,Dengue,2021-03,2025-07-30 16:05
Chickenpox,/m/01r6j,7,BR-AM,Dengue,2021-03,2025-07-30 16:05
,,,BR-AP,Dengue,2021-03,2025-07-30 16:05
Symptom,/m/01b_06,100,BR-BA,Dengue,2021-03,2025-07-30 16:05
Chikungunya virus infection,/m/01__7l,38,BR-BA,Dengue,2021-03,2025-07-30 16:05
Yellow fever mosquito,/m/06y6_w,35,BR-BA,Dengue,2021-03,2025-07-30 16:05
Mosquito,/m/09f96,30,BR-BA,Dengue,2021-03,2025-07-30 16:05
Zika fever,/m/02vkznh,28,BR-BA,Dengue,2021-03,2025-07-30 16:05
Virus,/m/0g9pc,24,BR-BA,Dengue,2021-03,2025-07-30 16:05
Disease,/m/027x3,22,BR-BA,Dengue,2021-03,2025-07-30 16:05
Cure,/m/0405g08,18,BR-BA,Dengue,2021-03,2025-07-30 16:05
Pain,/m/062t2,16,BR-BA,Dengue,2021-03,2025-07-30 16:05
Fever,/m/0cjf0,14,BR-BA,Dengue,2021-03,2025-07-30 16:05
Transmission,/m/036991,11,BR-BA,Dengue,2021-03,2025-07-30 16:05
Itch,/m/04kllm9,10,BR-BA,Dengue,2021-03,2025-07-30 16:05
Body,/m/0180q,9,BR-BA,Dengue,2021-03,2025-07-30 16:05
Bleeding,/m/012n6x,7,BR-BA,Dengue,2021-03,2025-07-30 16:05
Yellow fever,/m/087z2,7,BR-BA,Dengue,2021-03,2025-07-30 16:05
Metamizole,/m/08j19g,7,BR-BA,Dengue,2021-03,2025-07-30 16:05
Aedes,/m/01yz26,6,BR-BA,Dengue,2021-03,2025-07-30 16:05
Skin,/m/06z04,6,BR-BA,Dengue,2021-03,2025-07-30 16:05
Influenza,/m/0cycc,6,BR-BA,Dengue,2021-03,2025-07-30 16:05
Immunoglobulin M,/m/02gshc,6,BR-BA,Dengue,2021-03,2025-07-30 16:05
Organism,/m/05nnm,5,BR-BA,Dengue,2021-03,2025-07-30 16:05
Acetaminophen,/m/0lbt3,5,BR-BA,Dengue,2021-03,2025-07-30 16:05
HIV/AIDS,/m/0d19y2,5,BR-BA,Dengue,2021-03,2025-07-30 16:05
HIV,/m/05dbslt,5,BR-BA,Dengue,2021-03,2025-07-30 16:05
Symptom,/m/01b_06,100,BR-CE,Dengue,2021-03,2025-07-30 16:05
Yellow fever mosquito,/m/06y6_w,63,BR-CE,Dengue,2021-03,2025-07-30 16:05
Mosquito,/m/09f96,60,BR-CE,Dengue,2021-03,2025-07-30 16:05
Disease,/m/027x3,30,BR-CE,Dengue,2021-03,2025-07-30 16:05
Virus,/m/0g9pc,22,BR-CE,Dengue,2021-03,2025-07-30 16:05
Chikungunya virus infection,/m/01__7l,17,BR-CE,Dengue,2021-03,2025-07-30 16:05
Zika fever,/m/02vkznh,16,BR-CE,Dengue,2021-03,2025-07-30 16:05
Transmission,/m/036991,16,BR-CE,Dengue,2021-03,2025-07-30 16:05
Fever,/m/0cjf0,14,BR-CE,Dengue,2021-03,2025-07-30 16:05
Organism,/m/05nnm,12,BR-CE,Dengue,2021-03,2025-07-30 16:05
Aedes,/m/01yz26,11,BR-CE,Dengue,2021-03,2025-07-30 16:05
HIV/AIDS,/m/0d19y2,9,BR-CE,Dengue,2021-03,2025-07-30 16:05
Yellow fever,/m/087z2,8,BR-CE,Dengue,2021-03,2025-07-30 16:05
Bacteria,/m/017q2,8,BR-CE,Dengue,2021-03,2025-07-30 16:05
Larva,/m/0d9_3,8,BR-CE,Dengue,2021-03,2025-07-30 16:05
Infection,/m/098s1,8,BR-CE,Dengue,2021-03,2025-07-30 16:05
Influenza,/m/0cycc,8,BR-CE,Dengue,2021-03,2025-07-30 16:05
Bleeding,/m/012n6x,7,BR-CE,Dengue,2021-03,2025-07-30 16:05
Combat,/m/0byj4,6,BR-CE,Dengue,2021-03,2025-07-30 16:05
Symptom,/m/01b_06,100,BR-DF,Dengue,2021-03,2025-07-30 16:05
