topicTitle,topicId,value,geo,keyword,time,sys_time
Symptom,/m/01b_06,100,BR-AC,Dengue,2024-10,2025-07-30 16:14
Health,/m/0kt51,100,BR-AC,Dengue,2024-10,2025-07-30 16:14
Mosquito,/m/09f96,64,BR-AC,Dengue,2024-10,2025-07-30 16:14
Disease,/m/027x3,45,BR-AC,Dengue,2024-10,2025-07-30 16:14
Cure,/m/0405g08,43,BR-AC,Dengue,2024-10,2025-07-30 16:14
Bleeding,/m/012n6x,31,BR-AC,Dengue,2024-10,2025-07-30 16:14
Yellow fever mosquito,/m/06y6_w,27,BR-AC,Dengue,2024-10,2025-07-30 16:14
Body,/m/0180q,24,BR-AC,Dengue,2024-10,2025-07-30 16:14
Symptom,/m/01b_06,100,BR-AL,Dengue,2024-10,2025-07-30 16:14
Mosquito,/m/09f96,67,BR-AL,Dengue,2024-10,2025-07-30 16:14
Yellow fever mosquito,/m/06y6_w,54,BR-AL,Dengue,2024-10,2025-07-30 16:14
Vaccine,/m/07__7,33,BR-AL,Dengue,2024-10,2025-07-30 16:14
Body,/m/0180q,26,BR-AL,Dengue,2024-10,2025-07-30 16:14
Bleeding,/m/012n6x,24,BR-AL,Dengue,2024-10,2025-07-30 16:14
Chikungunya virus infection,/m/01__7l,22,BR-AL,Dengue,2024-10,2025-07-30 16:14
Fever,/m/0cjf0,20,BR-AL,Dengue,2024-10,2025-07-30 16:14
Dengue vaccine,/m/0115n7rn,19,BR-AL,Dengue,2024-10,2025-07-30 16:14
COVID-19,/g/11j2cc_qll,17,BR-AL,Dengue,2024-10,2025-07-30 16:14
International Classification of Diseases,/m/03zlr,16,BR-AL,Dengue,2024-10,2025-07-30 16:14
Viral Infection,/m/02kc20m,16,BR-AL,Dengue,2024-10,2025-07-30 16:14
Metamizole,/m/08j19g,14,BR-AL,Dengue,2024-10,2025-07-30 16:14
Diagnosis,/g/121yyf_8,12,BR-AL,Dengue,2024-10,2025-07-30 16:14
Virus,/m/0g9pc,11,BR-AL,Dengue,2024-10,2025-07-30 16:14
Aedes,/m/01yz26,11,BR-AL,Dengue,2024-10,2025-07-30 16:14
Health,/m/0kt51,9,BR-AL,Dengue,2024-10,2025-07-30 16:14
Acetaminophen,/m/0lbt3,9,BR-AL,Dengue,2024-10,2025-07-30 16:14
Symptom,/m/01b_06,100,BR-AM,Dengue,2024-10,2025-07-30 16:14
Disease,/m/027x3,76,BR-AM,Dengue,2024-10,2025-07-30 16:14
Public health surveillance,/m/07h_jb,45,BR-AM,Dengue,2024-10,2025-07-30 16:14
Mosquito,/m/09f96,44,BR-AM,Dengue,2024-10,2025-07-30 16:14
Yellow fever mosquito,/m/06y6_w,36,BR-AM,Dengue,2024-10,2025-07-30 16:14
Health,/m/0kt51,34,BR-AM,Dengue,2024-10,2025-07-30 16:14
Cause,/m/0j276x9,29,BR-AM,Dengue,2024-10,2025-07-30 16:14
Aedes,/m/01yz26,26,BR-AM,Dengue,2024-10,2025-07-30 16:14
Epidemiology,/m/0hnfc,26,BR-AM,Dengue,2024-10,2025-07-30 16:14
Virus,/m/0g9pc,21,BR-AM,Dengue,2024-10,2025-07-30 16:14
COVID-19,/g/11j2cc_qll,20,BR-AM,Dengue,2024-10,2025-07-30 16:14
Vaccine,/m/07__7,18,BR-AM,Dengue,2024-10,2025-07-30 16:14
Zika virus,/m/080m_5j,17,BR-AM,Dengue,2024-10,2025-07-30 16:14
Yellow fever,/m/087z2,17,BR-AM,Dengue,2024-10,2025-07-30 16:14
Zika fever,/m/02vkznh,17,BR-AM,Dengue,2024-10,2025-07-30 16:14
Fever,/m/0cjf0,17,BR-AM,Dengue,2024-10,2025-07-30 16:14
being,/g/121m7xnm,14,BR-AM,Dengue,2024-10,2025-07-30 16:14
Dengue vaccine,/m/0115n7rn,14,BR-AM,Dengue,2024-10,2025-07-30 16:14
Life,/m/04nr2,14,BR-AM,Dengue,2024-10,2025-07-30 16:14
same,/g/11p1330g9l,13,BR-AM,Dengue,2024-10,2025-07-30 16:14
Chikungunya virus infection,/m/01__7l,11,BR-AM,Dengue,2024-10,2025-07-30 16:14
Surveillance,/m/0lzdp,11,BR-AM,Dengue,2024-10,2025-07-30 16:14
Ministry of Health of Brazil,/m/0c3ty1w,11,BR-AM,Dengue,2024-10,2025-07-30 16:14
medical treatment,/g/120p4rbg,8,BR-AM,Dengue,2024-10,2025-07-30 16:14
Symptom,/m/01b_06,100,BR-AP,Dengue,2024-10,2025-07-30 16:14
Malaria,/m/0542n,78,BR-AP,Dengue,2024-10,2025-07-30 16:14
Fever,/m/0cjf0,40,BR-AP,Dengue,2024-10,2025-07-30 16:14
Blood,/m/019jw,34,BR-AP,Dengue,2024-10,2025-07-30 16:14
Symptom,/m/01b_06,100,BR-BA,Dengue,2024-10,2025-07-30 16:14
Yellow fever mosquito,/m/06y6_w,48,BR-BA,Dengue,2024-10,2025-07-30 16:14
Mosquito,/m/09f96,48,BR-BA,Dengue,2024-10,2025-07-30 16:14
Vaccine,/m/07__7,35,BR-BA,Dengue,2024-10,2025-07-30 16:14
Disease,/m/027x3,33,BR-BA,Dengue,2024-10,2025-07-30 16:14
Dengue vaccine,/m/0115n7rn,26,BR-BA,Dengue,2024-10,2025-07-30 16:14
Chikungunya virus infection,/m/01__7l,24,BR-BA,Dengue,2024-10,2025-07-30 16:14
