topicTitle,topicId,value,geo,keyword,time,sys_time
Symptom,/m/01b_06,100,BR-AC,Dengue,2021-02,2025-07-30 16:03
COVID-19,/g/11j2cc_qll,30,BR-AC,Dengue,2021-02,2025-07-30 16:03
Bleeding,/m/012n6x,16,BR-AC,Dengue,2021-02,2025-07-30 16:03
Cure,/m/0405g08,15,BR-AC,Dengue,2021-02,2025-07-30 16:03
Yellow fever mosquito,/m/06y6_w,14,BR-AC,Dengue,2021-02,2025-07-30 16:03
Mosquito,/m/09f96,12,BR-AC,Dengue,2021-02,2025-07-30 16:03
Eating,/m/01f5gx,12,BR-AC,Dengue,2021-02,2025-07-30 16:03
Itch,/m/04kllm9,10,BR-AC,Dengue,2021-02,2025-07-30 16:03
Therapy,/m/03c1dkx,7,BR-AC,Dengue,2021-02,2025-07-30 16:03
Headache,/m/0j5fv,7,BR-AC,Dengue,2021-02,2025-07-30 16:03
Metamizole,/m/08j19g,6,BR-AC,Dengue,2021-02,2025-07-30 16:03
Fever,/m/0cjf0,6,BR-AC,Dengue,2021-02,2025-07-30 16:03
Platelet,/m/01bw6w,5,BR-AC,Dengue,2021-02,2025-07-30 16:03
Clove,/g/121hrbw_,4,BR-AC,Dengue,2021-02,2025-07-30 16:03
Diarrhea,/m/0f3kl,4,BR-AC,Dengue,2021-02,2025-07-30 16:03
Drink,/g/122fpn6r,4,BR-AC,Dengue,2021-02,2025-07-30 16:03
Acetaminophen,/m/0lbt3,4,BR-AC,Dengue,2021-02,2025-07-30 16:03
Abdominal pain,/m/02tfl8,4,BR-AC,Dengue,2021-02,2025-07-30 16:03
Inflammation,/m/0j7_w,4,BR-AC,Dengue,2021-02,2025-07-30 16:03
Immunoglobulin G,/m/02gsf4,3,BR-AC,Dengue,2021-02,2025-07-30 16:03
Malaria,/m/0542n,3,BR-AC,Dengue,2021-02,2025-07-30 16:03
Reagent,/m/0197z2,3,BR-AC,Dengue,2021-02,2025-07-30 16:03
Zika fever,/m/02vkznh,3,BR-AC,Dengue,2021-02,2025-07-30 16:03
Chikungunya virus infection,/m/01__7l,3,BR-AC,Dengue,2021-02,2025-07-30 16:03
Symptom,/m/01b_06,100,BR-AL,Dengue,2021-02,2025-07-30 16:03
Yellow fever mosquito,/m/06y6_w,40,BR-AL,Dengue,2021-02,2025-07-30 16:03
Mosquito,/m/09f96,18,BR-AL,Dengue,2021-02,2025-07-30 16:03
Symptom,/m/01b_06,100,BR-AM,Dengue,2021-02,2025-07-30 16:03
Cure,/m/0405g08,17,BR-AM,Dengue,2021-02,2025-07-30 16:03
Yellow fever mosquito,/m/06y6_w,15,BR-AM,Dengue,2021-02,2025-07-30 16:03
Disease,/m/027x3,14,BR-AM,Dengue,2021-02,2025-07-30 16:03
Bleeding,/m/012n6x,13,BR-AM,Dengue,2021-02,2025-07-30 16:03
Mosquito,/m/09f96,13,BR-AM,Dengue,2021-02,2025-07-30 16:03
Zika fever,/m/02vkznh,11,BR-AM,Dengue,2021-02,2025-07-30 16:03
Fever,/m/0cjf0,11,BR-AM,Dengue,2021-02,2025-07-30 16:03
Virus,/m/0g9pc,9,BR-AM,Dengue,2021-02,2025-07-30 16:03
Cause,/m/0j276x9,8,BR-AM,Dengue,2021-02,2025-07-30 16:03
Malaria,/m/0542n,8,BR-AM,Dengue,2021-02,2025-07-30 16:03
Medical sign,/m/02qbqx,7,BR-AM,Dengue,2021-02,2025-07-30 16:03
Chikungunya virus infection,/m/01__7l,7,BR-AM,Dengue,2021-02,2025-07-30 16:03
Home remedy,/m/044zht,7,BR-AM,Dengue,2021-02,2025-07-30 16:03
offense report,/g/120htl3q,6,BR-AM,Dengue,2021-02,2025-07-30 16:03
Yellow fever,/m/087z2,6,BR-AM,Dengue,2021-02,2025-07-30 16:03
Itch,/m/04kllm9,5,BR-AM,Dengue,2021-02,2025-07-30 16:03
Infection,/m/098s1,5,BR-AM,Dengue,2021-02,2025-07-30 16:03
Head,/m/04hgtk,5,BR-AM,Dengue,2021-02,2025-07-30 16:03
Pharmaceutical drug,/m/018l35,5,BR-AM,Dengue,2021-02,2025-07-30 16:03
Acetaminophen,/m/0lbt3,4,BR-AM,Dengue,2021-02,2025-07-30 16:03
Skin,/m/06z04,4,BR-AM,Dengue,2021-02,2025-07-30 16:03
Transmission,/m/036991,3,BR-AM,Dengue,2021-02,2025-07-30 16:03
Platelet,/m/01bw6w,2,BR-AM,Dengue,2021-02,2025-07-30 16:03
Symptom,/m/01b_06,100,BR-AP,Dengue,2021-02,2025-07-30 16:03
Yellow fever mosquito,/m/06y6_w,76,BR-AP,Dengue,2021-02,2025-07-30 16:03
Disease,/m/027x3,70,BR-AP,Dengue,2021-02,2025-07-30 16:03
Symptom,/m/01b_06,100,BR-BA,Dengue,2021-02,2025-07-30 16:03
Yellow fever mosquito,/m/06y6_w,38,BR-BA,Dengue,2021-02,2025-07-30 16:03
Mosquito,/m/09f96,34,BR-BA,Dengue,2021-02,2025-07-30 16:03
Chikungunya virus infection,/m/01__7l,32,BR-BA,Dengue,2021-02,2025-07-30 16:03
Zika fever,/m/02vkznh,32,BR-BA,Dengue,2021-02,2025-07-30 16:03
Pain,/m/062t2,18,BR-BA,Dengue,2021-02,2025-07-30 16:03
Cure,/m/0405g08,17,BR-BA,Dengue,2021-02,2025-07-30 16:03
Fever,/m/0cjf0,12,BR-BA,Dengue,2021-02,2025-07-30 16:03
Body,/m/0180q,12,BR-BA,Dengue,2021-02,2025-07-30 16:03
Disease,/m/027x3,11,BR-BA,Dengue,2021-02,2025-07-30 16:03
Virus,/m/0g9pc,9,BR-BA,Dengue,2021-02,2025-07-30 16:03
Acetaminophen,/m/0lbt3,9,BR-BA,Dengue,2021-02,2025-07-30 16:03
Combat,/m/0byj4,8,BR-BA,Dengue,2021-02,2025-07-30 16:03
Bleeding,/m/012n6x,7,BR-BA,Dengue,2021-02,2025-07-30 16:03
Pharmaceutical drug,/m/018l35,6,BR-BA,Dengue,2021-02,2025-07-30 16:03
Metamizole,/m/08j19g,6,BR-BA,Dengue,2021-02,2025-07-30 16:03
Transmission,/m/036991,6,BR-BA,Dengue,2021-02,2025-07-30 16:03
Zika virus,/m/080m_5j,5,BR-BA,Dengue,2021-02,2025-07-30 16:03
Itch,/m/04kllm9,5,BR-BA,Dengue,2021-02,2025-07-30 16:03
Poster,/m/01n5jq,5,BR-BA,Dengue,2021-02,2025-07-30 16:03
Aedes,/m/01yz26,4,BR-BA,Dengue,2021-02,2025-07-30 16:03
Influenza,/m/0cycc,4,BR-BA,Dengue,2021-02,2025-07-30 16:03
clown,/m/01sfl,4,BR-BA,Dengue,2021-02,2025-07-30 16:03
Viral Infection,/m/02kc20m,4,BR-BA,Dengue,2021-02,2025-07-30 16:03
Symptom,/m/01b_06,100,BR-CE,Dengue,2021-02,2025-07-30 16:03
Yellow fever mosquito,/m/06y6_w,58,BR-CE,Dengue,2021-02,2025-07-30 16:03
Mosquito,/m/09f96,54,BR-CE,Dengue,2021-02,2025-07-30 16:03
