topicTitle,topicId,value,geo,keyword,time,sys_time
Symptom,/m/01b_06,100,BR-AC,Dengue,2022-12,2025-07-23 15:05
Yellow fever mosquito,/m/06y6_w,24,BR-AC,Dengue,2022-12,2025-07-23 15:05
Pharmaceutical drug,/m/018l35,18,BR-AC,Dengue,2022-12,2025-07-23 15:05
Symptom,/m/01b_06,100,BR-AL,Dengue,2022-12,2025-07-23 15:05
Mosquito,/m/09f96,57,BR-AL,Dengue,2022-12,2025-07-23 15:05
Yellow fever mosquito,/m/06y6_w,36,BR-AL,Dengue,2022-12,2025-07-23 15:05
Zika fever,/m/02vkznh,31,BR-AL,Dengue,2022-12,2025-07-23 15:05
Disease,/m/027x3,28,BR-AL,Dengue,2022-12,2025-07-23 15:05
Fever,/m/0cjf0,26,BR-AL,Dengue,2022-12,2025-07-23 15:05
Body,/m/0180q,26,BR-AL,Dengue,2022-12,2025-07-23 15:05
Pain,/m/062t2,23,BR-AL,Dengue,2022-12,2025-07-23 15:05
Chikungunya virus infection,/m/01__7l,20,BR-AL,Dengue,2022-12,2025-07-23 15:05
Infection,/m/098s1,18,BR-AL,Dengue,2022-12,2025-07-23 15:05
Aedes,/m/01yz26,16,BR-AL,Dengue,2022-12,2025-07-23 15:05
Health,/m/0kt51,15,BR-AL,Dengue,2022-12,2025-07-23 15:05
Epidemiology,/m/0hnfc,15,BR-AL,Dengue,2022-12,2025-07-23 15:05
Virus,/m/0g9pc,14,BR-AL,Dengue,2022-12,2025-07-23 15:05
Therapy,/m/03c1dkx,13,BR-AL,Dengue,2022-12,2025-07-23 15:05
Influenza,/m/0cycc,12,BR-AL,Dengue,2022-12,2025-07-23 15:05
Bleeding,/m/012n6x,12,BR-AL,Dengue,2022-12,2025-07-23 15:05
Yellow fever,/m/087z2,9,BR-AL,Dengue,2022-12,2025-07-23 15:05
Ministry,/m/03h_j_,9,BR-AL,Dengue,2022-12,2025-07-23 15:05
Symptom,/m/01b_06,100,BR-AM,Dengue,2022-12,2025-07-23 15:05
