topicTitle,topicId,value,geo,keyword,time,sys_time
Symptom,/m/01b_06,100,BR-AC,Dengue,2023-03,2025-07-23 15:13
Bleeding,/m/012n6x,20,BR-AC,Dengue,2023-03,2025-07-23 15:13
Cure,/m/0405g08,19,BR-AC,Dengue,2023-03,2025-07-23 15:13
Mosquito,/m/09f96,17,BR-AC,Dengue,2023-03,2025-07-23 15:13
Fever,/m/0cjf0,13,BR-AC,Dengue,2023-03,2025-07-23 15:13
Yellow fever mosquito,/m/06y6_w,13,BR-AC,Dengue,2023-03,2025-07-23 15:13
International Classification of Diseases,/m/03zlr,8,BR-AC,Dengue,2023-03,2025-07-23 15:13
COVID-19,/g/11j2cc_qll,8,BR-AC,Dengue,2023-03,2025-07-23 15:13
Pharmaceutical drug,/m/018l35,8,BR-AC,Dengue,2023-03,2025-07-23 15:13
Virus,/m/0g9pc,7,BR-AC,Dengue,2023-03,2025-07-23 15:13
Therapy,/m/03c1dkx,7,BR-AC,Dengue,2023-03,2025-07-23 15:13
Acetaminophen,/m/0lbt3,7,BR-AC,Dengue,2023-03,2025-07-23 15:13
Symptom,/m/01b_06,100,BR-AL,Dengue,2023-03,2025-07-23 15:13
Mosquito,/m/09f96,42,BR-AL,Dengue,2023-03,2025-07-23 15:13
Yellow fever mosquito,/m/06y6_w,40,BR-AL,Dengue,2023-03,2025-07-23 15:13
Disease,/m/027x3,28,BR-AL,Dengue,2023-03,2025-07-23 15:13
Vaccine,/m/07__7,20,BR-AL,Dengue,2023-03,2025-07-23 15:13
Chikungunya virus infection,/m/01__7l,16,BR-AL,Dengue,2023-03,2025-07-23 15:13
Zika fever,/m/02vkznh,15,BR-AL,Dengue,2023-03,2025-07-23 15:13
Virus,/m/0g9pc,12,BR-AL,Dengue,2023-03,2025-07-23 15:13
Dengue vaccine,/m/0115n7rn,11,BR-AL,Dengue,2023-03,2025-07-23 15:13
Fever,/m/0cjf0,10,BR-AL,Dengue,2023-03,2025-07-23 15:13
Metamizole,/m/08j19g,10,BR-AL,Dengue,2023-03,2025-07-23 15:13
COVID-19,/g/11j2cc_qll,10,BR-AL,Dengue,2023-03,2025-07-23 15:13
Body ache,/g/11k71tc65k,9,BR-AL,Dengue,2023-03,2025-07-23 15:13
Body,/m/0180q,9,BR-AL,Dengue,2023-03,2025-07-23 15:13
Bleeding,/m/012n6x,9,BR-AL,Dengue,2023-03,2025-07-23 15:13
Therapy,/m/03c1dkx,6,BR-AL,Dengue,2023-03,2025-07-23 15:13
Skin,/m/06z04,5,BR-AL,Dengue,2023-03,2025-07-23 15:13
Yellow fever,/m/087z2,4,BR-AL,Dengue,2023-03,2025-07-23 15:13
Endemic,/m/03rqh3,4,BR-AL,Dengue,2023-03,2025-07-23 15:13
Transmission,/m/036991,4,BR-AL,Dengue,2023-03,2025-07-23 15:13
Influenza,/m/0cycc,3,BR-AL,Dengue,2023-03,2025-07-23 15:13
Symptom,/m/01b_06,100,BR-AM,Dengue,2023-03,2025-07-23 15:13
Mosquito,/m/09f96,34,BR-AM,Dengue,2023-03,2025-07-23 15:13
Yellow fever mosquito,/m/06y6_w,30,BR-AM,Dengue,2023-03,2025-07-23 15:13
Disease,/m/027x3,25,BR-AM,Dengue,2023-03,2025-07-23 15:13
Virus,/m/0g9pc,24,BR-AM,Dengue,2023-03,2025-07-23 15:13
Bleeding,/m/012n6x,17,BR-AM,Dengue,2023-03,2025-07-23 15:13
Vaccine,/m/07__7,15,BR-AM,Dengue,2023-03,2025-07-23 15:13
Body,/m/0180q,15,BR-AM,Dengue,2023-03,2025-07-23 15:13
Therapy,/m/03c1dkx,12,BR-AM,Dengue,2023-03,2025-07-23 15:13
COVID-19,/g/11j2cc_qll,12,BR-AM,Dengue,2023-03,2025-07-23 15:13
Cause,/m/0j276x9,11,BR-AM,Dengue,2023-03,2025-07-23 15:13
Dengue vaccine,/m/0115n7rn,11,BR-AM,Dengue,2023-03,2025-07-23 15:13
Aedes,/m/01yz26,10,BR-AM,Dengue,2023-03,2025-07-23 15:13
Malaria,/m/0542n,9,BR-AM,Dengue,2023-03,2025-07-23 15:13
Transmission,/m/036991,9,BR-AM,Dengue,2023-03,2025-07-23 15:13
Skin,/m/06z04,9,BR-AM,Dengue,2023-03,2025-07-23 15:13
Zika fever,/m/02vkznh,8,BR-AM,Dengue,2023-03,2025-07-23 15:13
Fever,/m/0cjf0,8,BR-AM,Dengue,2023-03,2025-07-23 15:13
Itch,/m/04kllm9,7,BR-AM,Dengue,2023-03,2025-07-23 15:13
Epidemic,/m/0hn9s,7,BR-AM,Dengue,2023-03,2025-07-23 15:13
Zika virus,/m/080m_5j,7,BR-AM,Dengue,2023-03,2025-07-23 15:13
HIV/AIDS,/m/0d19y2,7,BR-AM,Dengue,2023-03,2025-07-23 15:13
Diagnosis,/g/155pjm37,6,BR-AM,Dengue,2023-03,2025-07-23 15:13
Polio,/m/068p_,6,BR-AM,Dengue,2023-03,2025-07-23 15:13
Measles,/m/0g2gb,6,BR-AM,Dengue,2023-03,2025-07-23 15:13
Symptom,/m/01b_06,100,BR-AP,Dengue,2023-03,2025-07-23 15:13
Yellow fever mosquito,/m/06y6_w,53,BR-AP,Dengue,2023-03,2025-07-23 15:13
Bleeding,/m/012n6x,29,BR-AP,Dengue,2023-03,2025-07-23 15:13
Disease,/m/027x3,26,BR-AP,Dengue,2023-03,2025-07-23 15:13
Pain,/m/062t2,25,BR-AP,Dengue,2023-03,2025-07-23 15:13
Mosquito,/m/09f96,23,BR-AP,Dengue,2023-03,2025-07-23 15:13
Transmission,/m/036991,21,BR-AP,Dengue,2023-03,2025-07-23 15:13
Virus,/m/0g9pc,20,BR-AP,Dengue,2023-03,2025-07-23 15:13
Symptom,/m/01b_06,100,BR-BA,Dengue,2023-03,2025-07-23 15:13
